case,config_id,M,N,K,tb_m,tb_n,tb_k,warp_m,warp_n,warp_k,stages,mean_time_ms,std_dev_ms,cv,gflops
Running case1 config_0: tb=64x64x32 warp=32x32x32 stages=2
case1,0,8192,8192,8192,64,64,32,32,32,32,2,47.074,0.914,0.0194,23357.3
Running case1 config_1: tb=64x64x32 warp=32x32x32 stages=3
case1,1,8192,8192,8192,64,64,32,32,32,32,3,46.796,0.146,0.0031,23495.8
Running case1 config_2: tb=64x64x32 warp=32x32x32 stages=4
case1,2,8192,8192,8192,64,64,32,32,32,32,4,49.304,0.938,0.0190,22300.8
Running case1 config_3: tb=64x64x32 warp=32x32x32 stages=5
case1,3,8192,8192,8192,64,64,32,32,32,32,5,48.087,1.067,0.0222,22864.8
Running case1 config_4: tb=64x64x32 warp=32x64x32 stages=2
case1,4,8192,8192,8192,64,64,32,32,64,32,2,50.219,0.030,0.0006,21894.2
Running case1 config_5: tb=64x64x32 warp=32x64x32 stages=3
case1,5,8192,8192,8192,64,64,32,32,64,32,3,49.993,0.273,0.0055,21993.5
Running case1 config_6: tb=64x64x32 warp=32x64x32 stages=4
case1,6,8192,8192,8192,64,64,32,32,64,32,4,62.981,0.121,0.0019,17457.7
Running case1 config_7: tb=64x64x32 warp=32x64x32 stages=5
case1,7,8192,8192,8192,64,64,32,32,64,32,5,61.522,0.138,0.0022,17871.9
Running case1 config_8: tb=64x64x32 warp=64x32x32 stages=2
case1,8,8192,8192,8192,64,64,32,64,32,32,2,48.642,0.116,0.0024,22604.3
Running case1 config_9: tb=64x64x32 warp=64x32x32 stages=3
case1,9,8192,8192,8192,64,64,32,64,32,32,3,48.144,0.211,0.0044,22838.1
Running case1 config_10: tb=64x64x32 warp=64x32x32 stages=4
case1,10,8192,8192,8192,64,64,32,64,32,32,4,60.662,0.124,0.0021,18125.3
Running case1 config_11: tb=64x64x32 warp=64x32x32 stages=5
case1,11,8192,8192,8192,64,64,32,64,32,32,5,61.109,0.033,0.0005,17992.8
Running case1 config_12: tb=64x64x32 warp=64x64x32 stages=2
case1,12,8192,8192,8192,64,64,32,64,64,32,2,71.193,0.120,0.0017,15444.1
Running case1 config_13: tb=64x64x32 warp=64x64x32 stages=3
case1,13,8192,8192,8192,64,64,32,64,64,32,3,63.110,0.219,0.0035,17422.1
Running case1 config_14: tb=64x64x32 warp=64x64x32 stages=4
case1,14,8192,8192,8192,64,64,32,64,64,32,4,124.855,0.197,0.0016,8806.3
Running case1 config_15: tb=64x64x32 warp=64x64x32 stages=5
case1,15,8192,8192,8192,64,64,32,64,64,32,5,123.488,0.072,0.0006,8903.8
Running case1 config_16: tb=64x128x32 warp=32x32x32 stages=2
case1,16,8192,8192,8192,64,128,32,32,32,32,2,27.974,0.133,0.0047,39304.9
Running case1 config_17: tb=64x128x32 warp=32x32x32 stages=3
case1,17,8192,8192,8192,64,128,32,32,32,32,3,32.639,0.130,0.0040,33687.5
Running case1 config_18: tb=64x128x32 warp=32x64x32 stages=2
case1,18,8192,8192,8192,64,128,32,32,64,32,2,30.807,0.214,0.0069,35690.3
Running case1 config_19: tb=64x128x32 warp=32x64x32 stages=3
case1,19,8192,8192,8192,64,128,32,32,64,32,3,32.779,0.161,0.0049,33542.8
Running case1 config_20: tb=64x128x32 warp=64x32x32 stages=2
case1,20,8192,8192,8192,64,128,32,64,32,32,2,31.021,0.132,0.0043,35444.0
Running case1 config_21: tb=64x128x32 warp=64x32x32 stages=3
case1,21,8192,8192,8192,64,128,32,64,32,32,3,32.760,0.112,0.0034,33562.3
Running case1 config_22: tb=64x128x32 warp=64x64x32 stages=2
case1,22,8192,8192,8192,64,128,32,64,64,32,2,46.876,0.462,0.0099,23455.7
Running case1 config_23: tb=64x128x32 warp=64x64x32 stages=3
case1,23,8192,8192,8192,64,128,32,64,64,32,3,60.908,0.324,0.0053,18051.9
Running case1 config_24: tb=128x64x32 warp=32x32x32 stages=2
case1,24,8192,8192,8192,128,64,32,32,32,32,2,47.389,0.384,0.0081,23202.0
Running case1 config_25: tb=128x64x32 warp=32x32x32 stages=3
case1,25,8192,8192,8192,128,64,32,32,32,32,3,47.273,0.267,0.0056,23258.6
Running case1 config_26: tb=128x64x32 warp=32x64x32 stages=2
case1,26,8192,8192,8192,128,64,32,32,64,32,2,48.423,0.133,0.0027,22706.2
Running case1 config_27: tb=128x64x32 warp=32x64x32 stages=3
case1,27,8192,8192,8192,128,64,32,32,64,32,3,48.416,0.269,0.0056,22709.8
Running case1 config_28: tb=128x64x32 warp=64x32x32 stages=2
case1,28,8192,8192,8192,128,64,32,64,32,32,2,47.655,0.607,0.0127,23072.2
Running case1 config_29: tb=128x64x32 warp=64x32x32 stages=3
case1,29,8192,8192,8192,128,64,32,64,32,32,3,49.348,0.843,0.0171,22280.7
Running case1 config_30: tb=128x64x32 warp=64x64x32 stages=2
case1,30,8192,8192,8192,128,64,32,64,64,32,2,80.438,0.169,0.0021,13669.1
Running case1 config_31: tb=128x64x32 warp=64x64x32 stages=3
case1,31,8192,8192,8192,128,64,32,64,64,32,3,62.465,0.743,0.0119,17601.9
Running case1 config_32: tb=128x128x32 warp=32x32x32 stages=2
case1,32,8192,8192,8192,128,128,32,32,32,32,2,27.322,0.323,0.0118,40242.3
Running case1 config_33: tb=128x128x32 warp=32x64x32 stages=2
case1,33,8192,8192,8192,128,128,32,32,64,32,2,27.113,0.107,0.0039,40552.5
Running case1 config_34: tb=128x128x32 warp=64x32x32 stages=2
case1,34,8192,8192,8192,128,128,32,64,32,32,2,26.772,0.062,0.0023,41069.0
Running case1 config_35: tb=128x128x32 warp=64x64x32 stages=2
case1,35,8192,8192,8192,128,128,32,64,64,32,2,24.936,0.146,0.0059,44092.5
Running case2 config_0: tb=64x64x32 warp=32x32x32 stages=2
case2,0,8192,8192,16384,64,64,32,32,32,32,2,184.002,51.604,0.2805,11951.1
Running case2 config_1: tb=64x64x32 warp=32x32x32 stages=3
